STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,36,U,F,Not matched,L,E,C,T,2
CA,14,H,M,3,L,G,A,S,1
NC,43,U,M,3,L,E,C,R,2
CA,44,U,F,3,L,E,C,R,2
FL,16,H,F,3,L,F,A,S,2
other,40,U,F,Not matched,L,F,C,T,2
IN,40,H,F,3,L,E,D,T,2
other,39,U,F,1,L,E,C,T,2
other,45,U,M,3,L,F,D,R,2
other,35,U,M,Not matched,L,F,B,T,1
other,53,U,F,1,L,F,D,R,3
IN,17,U,M,3,L,F,B,S,2
other,51,H,F,3,L,D,D,R,3
other,40,U,M,Not matched,L,G,B,T,2
other,35,H,M,3,L,F,D,T,1
CA,2,H,M,1,L,F,A,U,1
MI,20,U,M,3,L,F,A,S,2
IL,43,U,F,2,L,G,C,R,2
FL,16,H,F,3,L,F,B,S,2
NC,27,U,M,Not matched,L,F,C,C,2
other,12,H,F,3,L,D,A,S,1
MI,43,U,M,3,L,G,C,R,2
FL,40,U,F,Not matched,L,G,C,T,2
IL,22,U,F,Not matched,L,E,A,C,1
other,35,H,F,3,L,E,A,T,1
CA,35,H,M,3,L,F,B,T,1
IL,13,H,F,2,L,G,A,S,1
MO,35,H,M,3,L,E,D,T,1
TX,35,H,F,3,L,E,A,T,1
IL,40,U,F,3,L,E,A,T,2
TX,35,U,M,Not matched,L,D,A,T,1
MO,8,H,M,3,L,F,A,U,3
NC,25,U,F,3,L,G,B,C,2
FL,15,U,F,3,L,F,A,S,1
other,40,U,F,Not matched,L,F,B,R,2
other,42,U,M,Not matched,L,F,C,R,1
TX,12,H,M,3,L,G,B,S,1
CA,11,U,F,3,L,G,A,S,1
other,17,H,F,2,L,F,A,S,2
other,36,H,F,3,L,G,D,T,2
IL,28,U,F,Not matched,L,G,B,C,2
MI,2,U,F,Not matched,L,E,B,U,1
WA,14,H,M,3,L,F,A,S,1
FL,35,H,M,3,L,F,A,T,1
WI,18,H,F,3,L,F,B,S,2
other,24,H,F,3,L,D,C,C,1
other,40,U,F,2,L,E,C,R,2
IN,34,H,M,2,L,F,C,T,1
WA,5,U,M,Not matched,L,F,A,U,2
TX,31,H,M,2,L,F,C,C,3
IL,44,U,F,2,L,F,B,R,2
NC,32,H,F,3,L,F,B,C,3
NC,27,H,F,2,L,D,B,C,2
FL,18,H,F,3,L,E,A,S,2
IL,36,H,M,2,L,F,C,T,2
CA,46,U,F,Not matched,L,G,A,R,2
CA,3,U,F,2,L,E,A,U,1
other,50,H,F,2,L,F,D,R,3
TX,18,U,M,Not matched,L,F,A,S,2
IN,44,H,F,2,L,F,C,R,2
TX,40,H,M,3,L,F,A,T,2
GA,44,H,F,2,L,F,B,R,2
other,53,H,M,2,L,F,D,R,3
TX,40,H,F,3,L,F,A,T,2
GA,46,H,M,3,L,F,D,R,2
NC,17,H,F,3,L,D,B,S,2
FL,28,U,M,3,L,G,B,C,2
IL,43,U,F,Not matched,L,E,A,R,2
CA,7,U,F,Not matched,L,G,A,U,2
IN,45,U,M,2,L,G,D,R,2
CA,37,H,F,2,L,D,C,T,2
other,40,H,other,3,L,G,D,T,2
other,14,U,F,2,L,F,B,S,1
NC,53,U,F,Not matched,L,F,D,R,3
CA,10,H,M,2,L,E,A,U,4
MI,24,H,F,3,L,F,A,C,1
other,38,U,F,Not matched,L,G,A,T,2
IL,21,H,M,2,L,E,A,S,3
CA,13,H,F,2,L,F,A,S,1
FL,9,H,F,3,L,F,A,U,3
WI,11,H,M,1,L,G,B,S,1
FL,28,U,M,1,L,F,B,C,2
TX,11,H,F,3,L,E,A,S,1
other,46,U,M,2,L,F,D,R,2
CA,7,U,F,Not matched,L,F,A,U,2
GA,43,U,F,1,L,F,B,R,2
CA,3,H,F,3,L,F,A,U,1
other,28,H,M,1,L,F,C,C,2
FL,29,H,F,3,L,G,B,C,2
TX,30,H,F,3,L,G,C,C,3
other,25,U,M,Not matched,L,G,B,C,2
NC,45,H,F,2,L,F,D,R,2
other,31,H,M,3,L,D,B,C,3
GA,18,H,M,3,L,E,A,S,2
other,27,H,M,3,L,E,C,C,2
other,45,U,F,Not matched,L,E,D,R,2
other,36,H,F,3,L,F,C,T,2
MO,40,U,M,Not matched,L,D,C,T,2
FL,29,H,F,3,L,E,B,C,2
CA,13,U,M,Not matched,L,F,A,S,1
FL,4,U,F,2,L,F,A,U,2
other,12,U,F,2,L,E,B,S,1
CA,10,H,F,3,L,G,A,U,4
other,44,U,M,2,L,E,B,R,2
TX,3,H,F,3,L,G,A,U,1
CA,22,U,F,Not matched,L,G,A,C,1
other,41,U,F,Not matched,L,D,B,T,3
FL,18,H,M,3,L,G,B,S,2
other,51,U,F,2,L,F,D,R,3
CA,13,H,M,3,L,G,A,S,1
TX,24,U,other,1,L,E,C,C,1
TX,49,H,M,3,L,F,D,R,2
NC,36,H,F,3,L,F,D,T,2
CA,24,H,M,2,L,G,A,C,1
other,12,H,F,3,L,F,B,S,1
other,13,H,M,3,L,G,B,S,1
other,43,H,M,3,L,G,B,R,2
other,24,H,F,3,L,E,B,C,1
TX,13,H,M,3,L,G,A,S,1
other,18,H,F,3,L,E,C,S,2
MO,39,U,M,3,L,E,D,T,2
other,43,H,M,3,L,F,D,R,2
FL,23,U,F,Not matched,L,D,B,C,1
FL,33,H,M,2,L,F,A,C,3
CA,24,H,M,3,L,E,A,C,1
FL,49,U,F,Not matched,L,G,B,R,2
FL,40,U,F,2,L,F,B,T,2
other,8,H,F,3,L,F,A,U,3
other,8,U,M,1,L,E,B,U,3
other,31,H,F,2,L,G,B,C,3
FL,37,H,F,2,L,F,C,T,2
IL,13,H,F,3,L,E,A,S,1
other,14,H,F,2,L,F,A,S,1
IL,13,H,F,2,L,G,A,S,1
IL,30,H,F,3,L,G,B,C,3
MI,40,H,F,3,L,F,A,T,2
CA,3,U,F,2,L,F,A,U,1
MI,24,U,M,3,L,F,C,C,1
IL,36,U,F,3,L,G,B,T,2
TX,12,H,M,3,L,G,B,S,1
MI,44,H,M,3,L,F,A,R,2
other,40,H,F,2,L,F,C,T,2
WA,40,H,M,2,L,E,A,T,2
IL,7,H,F,3,L,F,A,U,2
FL,30,H,F,3,L,F,B,C,3
MI,17,U,F,3,L,G,A,S,2
MO,36,H,F,2,L,F,D,T,2
IN,49,U,M,Not matched,L,F,C,R,2
CA,14,H,M,2,L,G,B,S,1
FL,28,H,F,3,L,D,B,C,2
IN,44,U,M,Not matched,L,E,B,R,2
other,45,U,F,1,L,F,B,R,2
TX,10,H,F,1,L,E,C,U,4
CA,15,U,F,Not matched,L,G,A,S,1
TX,32,H,F,3,L,G,A,C,3
other,36,U,M,3,L,G,C,T,2
other,27,H,M,3,L,F,C,C,2
FL,53,U,M,Not matched,L,E,C,R,3
other,51,U,M,3,L,F,D,R,3
CA,24,H,F,3,L,F,C,C,1
MI,36,U,F,Not matched,L,G,D,T,2
other,12,H,M,3,L,E,B,S,1
other,30,U,M,2,L,F,C,C,3
other,31,H,M,3,L,E,C,C,3
NC,22,U,F,Not matched,L,E,B,C,1
other,31,U,M,Not matched,L,E,B,C,3
FL,22,U,F,2,L,F,B,C,1
other,40,U,M,Not matched,L,F,B,T,2
GA,39,U,F,1,L,F,B,T,2
CA,46,U,F,Not matched,L,E,B,R,2
GA,27,H,M,3,L,F,B,C,2
MI,32,U,F,2,L,F,B,C,3
FL,27,U,F,3,L,D,B,C,2
other,16,H,F,2,L,G,B,S,2
TX,40,U,F,2,L,F,A,T,2
CA,35,H,F,3,L,G,A,T,1
MI,43,H,M,3,L,F,D,R,2
CA,44,H,F,3,L,F,A,R,2
CA,10,U,F,2,L,F,A,U,4
FL,9,U,F,Not matched,L,F,C,U,3
WA,27,H,F,3,L,F,A,C,2
other,41,H,F,2,L,F,D,T,3
NC,40,H,F,3,L,E,D,T,2
other,10,U,other,Not matched,L,F,A,U,4
other,51,U,M,Not matched,L,F,D,R,3
CA,20,H,F,3,L,G,A,S,2
FL,46,U,F,Not matched,L,E,B,R,2
other,51,U,M,Not matched,L,G,B,R,3
CA,1,H,F,3,L,F,A,U,1
other,18,U,M,2,L,G,B,S,2
NC,38,U,F,2,L,D,C,T,2
CA,35,H,F,3,L,F,A,T,1
other,49,U,F,Not matched,L,E,D,R,2
TX,16,H,F,3,L,F,A,S,2
FL,46,H,F,3,L,F,C,R,2
CA,40,U,M,Not matched,L,G,B,T,2
GA,15,U,M,3,L,G,C,S,1
MI,10,H,F,2,L,D,A,U,4
other,5,H,M,3,L,E,B,U,2
WA,40,H,M,3,L,E,A,T,2
GA,40,H,M,2,L,E,C,T,2
MI,38,H,F,3,L,E,A,T,2
WA,39,H,M,2,L,F,C,T,2
other,23,U,F,Not matched,L,F,A,C,1
CA,12,H,F,3,L,G,A,S,1
FL,37,U,M,2,L,F,B,T,2
WA,24,H,M,3,L,F,C,C,1
TX,24,H,M,3,L,G,A,C,1
CA,10,H,F,3,L,G,A,U,4
CA,30,H,M,3,L,F,A,C,3
other,11,H,M,2,L,F,B,S,1
CA,2,H,M,2,L,F,A,U,1
CA,46,H,F,2,L,F,A,R,2
FL,23,H,M,3,L,E,A,C,1
IN,24,U,M,Not matched,L,F,C,C,1
NC,32,U,M,3,L,F,B,C,3
NC,51,U,F,Not matched,L,F,B,R,3
other,50,U,other,2,L,G,D,R,3
FL,42,U,M,1,L,E,D,R,1
other,11,U,M,Not matched,L,D,C,S,1
CA,40,H,F,3,L,F,B,T,2
CA,12,H,F,2,L,F,A,S,1
